date,value
2000-06-05,41.901123046875
2000-06-06,40.17624282836914
2000-06-07,40.83964920043945
2000-06-08,41.0254135131836
2000-06-09,41.87458419799805
2000-06-12,40.255859375
2000-06-13,41.95418930053711
2000-06-14,40.149715423583984
2000-06-15,40.49467849731445
2000-06-16,40.760047912597656
2000-06-19,43.51984405517578
2000-06-20,44.15671920776367
2000-06-21,44.34247589111328
2000-06-22,42.139949798583984
2000-06-23,41.39692687988281
2000-06-26,41.39692687988281
2000-06-27,40.070098876953125
2000-06-28,40.28238296508789
2000-06-29,39.35361099243164
2000-06-30,39.91088104248047
2000-07-03,40.8131217956543
2000-07-05,37.62874221801758
2000-07-06,39.16785430908203
2000-07-07,40.44161605834961
2000-07-10,40.38854217529297
2000-07-11,39.75165557861328
2000-07-12,40.7335090637207
2000-07-13,41.76842880249024
2000-07-14,43.04218673706055
2000-07-17,43.705596923828125
2000-07-18,41.79497909545898
2000-07-19,40.308929443359375
2000-07-20,39.67205047607422
2000-07-21,38.05332565307617
2000-07-24,37.89410400390625
2000-07-25,39.40669250488281
2000-07-26,37.68181610107422
2000-07-27,35.1077766418457
2000-07-28,34.789337158203125
2000-07-31,35.93040466308594
2000-08-01,34.73626708984375
2000-08-02,34.39129638671875
2000-08-03,34.338218688964844
2000-08-04,33.40943908691406
2000-08-07,34.39129638671875
2000-08-08,34.41782760620117
2000-08-09,35.42620849609375
2000-08-10,34.57704162597656
2000-08-11,35.1077766418457
2000-08-14,37.257232666015625
2000-08-15,38.477909088134766
2000-08-16,39.59244537353516
2000-08-17,40.36199569702149
2000-08-18,41.37038803100586
2000-08-21,40.33546447753906
2000-08-22,40.7335090637207
2000-08-23,42.35224533081055
2000-08-24,42.139949798583984
2000-08-25,41.60921859741211
2000-08-28,41.82150650024414
2000-08-29,41.50307083129883
2000-08-30,41.105018615722656
2000-08-31,41.901123046875
2000-09-01,41.55614471435547
2000-09-05,40.38854217529297
2000-09-06,37.81449890136719
2000-09-07,39.061710357666016
2000-09-08,37.20415878295898
2000-09-11,36.62035751342773
2000-09-12,35.744651794433594
2000-09-13,36.03655624389648
2000-09-14,36.010009765625
2000-09-15,35.134307861328125
2000-09-18,34.39129638671875
2000-09-19,36.965328216552734
2000-09-20,37.257232666015625
2000-09-21,35.771183013916016
2000-09-22,33.17061233520508
2000-09-25,31.423450469970703
2000-09-26,31.100765228271484
2000-09-27,30.78232765197754
2000-09-28,31.73764419555664
2000-09-29,30.18791007995605
2000-10-02,29.508575439453125
2000-10-03,29.062763214111328
2000-10-04,30.57003593444824
2000-10-05,29.805782318115234
2000-10-06,28.74432945251465
2000-10-09,28.23482322692871
2000-10-10,25.6193904876709
2000-10-11,25.453800201416016
2000-10-12,24.88060760498047
2000-10-13,27.49180030822754
2000-10-16,25.92084312438965
2000-10-17,24.5112247467041
2000-10-18,24.031444549560547
2000-10-19,27.9163875579834
2000-10-20,28.340970993041992
2000-10-23,28.99907875061035
2000-10-24,27.06722068786621
2000-10-25,24.96128463745117
2000-10-26,26.260507583618164
2000-10-27,26.196821212768555
2000-10-30,26.37939453125
2000-10-31,27.9163875579834
2000-11-01,26.918615341186523
2000-11-02,27.59794807434082
2000-11-03,27.38141632080078
2000-11-06,27.38565444946289
2000-11-07,26.107664108276367
2000-11-08,24.05267333984375
2000-11-09,23.988985061645508
2000-11-10,22.50294303894043
2000-11-13,23.47948455810547
2000-11-14,24.81692695617676
2000-11-15,25.942073822021484
2000-11-16,24.540945053100582
2000-11-17,24.477258682250977
2000-11-20,24.1588191986084
2000-11-21,23.64507484436035
2000-11-22,23.13981819152832
2000-11-24,24.833908081054688
2000-11-27,23.47948455810547
2000-11-28,21.86606788635254
2000-11-29,22.116573333740234
2000-11-30,20.380023956298828
2000-12-01,20.21868324279785
2000-12-04,20.363040924072266
2000-12-05,22.49869728088379
2000-12-06,21.5688591003418
2000-12-07,21.13578414916992
2000-12-08,23.45825958251953
2000-12-11,25.135364532470703
2000-12-12,24.286195755004883
2000-12-13,22.65154838562012
2000-12-14,22.38406181335449
2000-12-15,21.781147003173828
2000-12-18,21.75992202758789
2000-12-19,21.48394012451172
2000-12-20,20.210189819335938
2000-12-21,20.16773223876953
2000-12-22,21.547632217407227
2000-12-26,21.314105987548828
2000-12-27,22.35433959960937
2000-12-28,21.768415451049805
2000-12-29,20.80460929870605
2001-01-02,20.507396697998047
2001-01-03,23.88283920288086
2001-01-04,23.1440658569336
2001-01-05,21.75992202758789
2001-01-08,22.074113845825195
2001-01-09,21.69623374938965
2001-01-10,22.63031959533692
2001-01-11,23.870101928710938
2001-01-12,23.543174743652344
2001-01-16,22.715234756469727
2001-01-17,23.908315658569336
2001-01-18,25.262741088867188
2001-01-19,25.35190200805664
2001-01-22,24.73200798034668
2001-01-23,24.901840209960938
2001-01-24,24.8593807220459
2001-01-25,23.9465274810791
2001-01-26,24.05267333984375
2001-01-29,24.689552307128903
2001-01-30,25.135364532470703
2001-01-31,25.0546932220459
2001-02-01,24.901840209960938
2001-02-02,23.81915283203125
2001-02-05,22.88081932067871
2001-02-06,22.931774139404297
2001-02-07,22.184505462646484
2001-02-08,21.878801345825195
2001-02-09,21.61131858825684
2001-02-12,22.052881240844727
2001-02-13,21.47545051574707
2001-02-14,22.931774139404297
2001-02-15,23.776695251464844
2001-02-16,22.341602325439453
2001-02-20,20.677230834960938
2001-02-21,20.46493911743164
2001-02-22,20.16773223876953
2001-02-23,20.125274658203125
2001-02-26,19.530855178833008
2001-02-27,18.715654373168945
2001-02-28,17.768831253051758
2001-03-01,18.93643951416016
2001-03-02,19.25063133239746
2001-03-05,19.959680557250977
2001-03-06,21.05511283874512
2001-03-07,20.889524459838867
2001-03-08,20.889524459838867
2001-03-09,19.526609420776367
2001-03-12,18.76660346984864
2001-03-13,19.7006893157959
2001-03-14,19.488399505615234
2001-03-15,18.953418731689453
2001-03-16,18.36749649047852
2001-03-19,19.10627174377441
2001-03-20,17.93866539001465
2001-03-21,18.55006980895996
2001-03-22,20.46918296813965
2001-03-23,20.93198013305664
2001-03-26,20.184715270996094
2001-03-27,20.29510307312012
2001-03-28,18.809062957763672
2001-03-29,18.38447952270508
2001-03-30,17.61598777770996
2001-04-02,16.431394577026367
2001-04-03,15.964350700378418
2001-04-04,14.987807273864746
2001-04-05,17.02581214904785
2001-04-06,15.862449645996094
2001-04-09,15.454854011535645
2001-04-10,16.85597801208496
2001-04-11,18.677440643310547
2001-04-12,19.67946052551269
2001-04-16,18.677440643310547
